Face 0 :  | Normal(0,0,0) | Point[(1,1,3),(1.172,1,2.916),(1.17067,1.02133,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 1 :  | Normal(0,0,0) | Point[(1,1,3),(1,1,3),(1.17067,1.02133,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 2 :  | Normal(0,0,0) | Point[(1.172,1,2.916),(1.296,1,2.688),(1.29371,1.03671,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 3 :  | Normal(0,0,0) | Point[(1.172,1,2.916),(1.17067,1.02133,2.916),(1.29371,1.03671,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 4 :  | Normal(0,0,0) | Point[(1.296,1,2.688),(1.384,1,2.352),(1.38103,1.04763,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 5 :  | Normal(0,0,0) | Point[(1.296,1,2.688),(1.29371,1.03671,2.688),(1.38103,1.04763,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 6 :  | Normal(0,0,0) | Point[(1.384,1,2.352),(1.448,1,1.944),(1.44454,1.05557,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 7 :  | Normal(0,0,0) | Point[(1.384,1,2.352),(1.38103,1.04763,2.352),(1.44454,1.05557,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 8 :  | Normal(0,0,0) | Point[(1.448,1,1.944),(1.5,1,1.5),(1.49614,1.06202,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 9 :  | Normal(0,0,0) | Point[(1.448,1,1.944),(1.44454,1.05557,1.944),(1.49614,1.06202,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 10 :  | Normal(0,0,0) | Point[(1.5,1,1.5),(1.552,1,1.056),(1.54774,1.06847,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 11 :  | Normal(0,0,0) | Point[(1.5,1,1.5),(1.49614,1.06202,1.5),(1.54774,1.06847,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 12 :  | Normal(0,0,0) | Point[(1.552,1,1.056),(1.616,1,0.648),(1.61124,1.07641,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 13 :  | Normal(0,0,0) | Point[(1.552,1,1.056),(1.54774,1.06847,1.056),(1.61124,1.07641,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 14 :  | Normal(0,0,0) | Point[(1.616,1,0.648),(1.704,1,0.312),(1.69856,1.08732,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 15 :  | Normal(0,0,0) | Point[(1.616,1,0.648),(1.61124,1.07641,0.648),(1.69856,1.08732,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 16 :  | Normal(0,0,0) | Point[(1.704,1,0.312),(1.828,1,0.084),(1.82161,1.1027,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 17 :  | Normal(0,0,0) | Point[(1.704,1,0.312),(1.69856,1.08732,0.312),(1.82161,1.1027,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 18 :  | Normal(0,0,0) | Point[(1.828,1,0.084),(2,1,0),(1.99228,1.12403,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 19 :  | Normal(0,0,0) | Point[(1.828,1,0.084),(1.82161,1.1027,0.084),(1.99228,1.12403,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
